하다/Verb
./Punctuation
네/Noun
가/Josa
이/Josa
그/Noun
에/Josa
를/Josa
을/Josa
있다/Adjective
되다/Verb
그렇다/Adjective
거/Noun
예/Noun
아/Exclamation
지금/Noun
뭐/Noun
제/Noun
으로/Josa
돼다/Verb
는/Josa
이/Noun
도/Josa
이/Determiner
아니다/Adjective
로/Josa
전화/Noun
고객/Noun
님/Suffix
좀/Noun
안/VerbPrefix
안되다/Adjective
나오다/Verb
에서/Josa
은/Josa
없다/Adjective
게/Josa
해주다/Verb
근데/Adverb
받다/Verb
확인/Noun
보다/Verb
것/Noun
요/Josa
저희/Noun
케이티/Noun
드리다/Verb
그래서/Adverb
오다/Verb
다/Adverb
인터넷/Noun
저/Noun
같다/Adjective
안/Noun
그거/Noun
하고/Josa
이렇게/Adverb
고/Josa
번호/Noun
티비/Noun
계속/Noun
때/Noun
또/Noun
다시/Noun
내/Noun
해지/Noun
한번/Noun
이제/Noun
어떻다/Adjective
그게/Noun
가입/Noun
그냥/Noun
어/Eomi
수/Noun
그렇게/Adverb
너무/Adverb
쪽/Noun
그러면/Adverb
서/Josa
요금/Noun
가다/Verb
알다/Verb
요/Noun
이렇다/Adjective
사용/Noun
않다/Verb
말씀/Noun
맞다/Verb
거기/Noun
뜨다/Verb
네네/Noun
쓰다/Verb
설치/Noun
혹시/Noun
분/Noun
말/Noun
만/Josa
부분/Noun
예요/Josa
얘기/Noun
왜/Noun
바꾸다/Verb
인제/Noun
해보다/Verb
연결/Noun
인데/Josa
오늘/Noun
그/Determiner
한테/Josa
갖다/Verb
여기/Noun
들/Suffix
들어가다/Verb
핸드폰/Noun
번/Noun
까지/Josa
하나/Noun
누르다/Verb
니까/Josa
되어다/Verb
전/Noun
때문/Noun
한/Determiner
못/VerbPrefix
주다/Verb
모르다/Verb
문자/Noun
들다/Verb
서비스/Noun
연락/Noun
다른/Noun
가지/Noun
이용/Noun
라고/Josa
끄다/Verb
그리고/Conjunction
달/Noun
적/Suffix
신청/Noun
죠/Josa
에요/Josa
일단/Noun
요/Modifier
자다/Verb
해드리다/Verb
싶다/Verb
게/Noun
기/Modifier
에는/Josa
일/Modifier
안내/Noun
더/Noun
저기/Noun
변경/Noun
부터/Josa
통화/Noun
전화하다/Adjective
채널/Noun
보내다/Verb
예/Modifier
사람/Noun
우리/Noun
내용/Noun
문제/Noun
와이파이/Noun
보/Noun
어제/Noun
그때/Noun
잘/VerbPrefix
집/Noun
년/Noun
상담/Noun
들어오다/Verb
알/Noun
면/Josa
개통/Noun
가능하다/Adjective
두/Determiner
기사/Noun
버리다/Verb
죄송하다/Adjective
해/Noun
데이터/Noun
폰/Noun
써다/Verb
못/Noun
직원/Noun
나/Josa
나/Noun
그걸/Adverb
금제/Noun
처리/Noun
켜다/Verb
원/Noun
걸/Noun
많이/Adverb
접수/Noun
시키다/Verb
경우/Noun
진짜/Noun
처음/Noun
넣다/Verb
이다/Verb
그것/Noun
버튼/Noun
휴대폰/Noun
친절하다/Adjective
그러니까/Adverb
이라고/Josa
불편/Noun
전화기/Noun
화면/Noun
그런데/Conjunction
진행/Noun
대해/Noun
해당/Noun
상태/Noun
바로/Noun
이/Suffix
하/Suffix
대리점/Noun
날/Noun
나가다/Verb
아예/Noun
내/Determiner
애/Noun
랑/Josa
막/Noun
내다/Verb
에서는/Josa
삼/Modifier
방문/Noun
니/Josa
한/Josa
정도/Noun
이다/Adjective
아이/Noun
설정/Noun
가족/Noun
문의/Noun
원래/Noun
자동/Noun
전원/Noun
청구/Noun
다음/Noun
야/Josa
어플/Noun
데/Noun
만/Suffix
시간/Noun
개/Noun
따로/Adverb
에도/Josa
결제/Noun
아직/Adverb
라는/Josa
거들다/Verb
자체/Noun
지니/Noun
이상/Noun
일/Noun
전달/Noun
라/Josa
오/Modifier
공/Modifier
돈/Noun
기/Noun
상품/Noun
끝나다/Verb
신호/Noun
에스/Noun
좋다/Adjective
수가/Noun
고/Noun
분/Suffix
요청/Noun
약정/Noun
서다/Verb
보고/Noun
충전/Noun
도/Noun
이나/Josa
인가/Josa
감사하다/Verb
얼마/Noun
달라/Noun
가요/Noun
해달라다/Verb
인/Josa
조금/Noun
십/Noun
등록/Noun
로그인/Noun
방법/Noun
똑같다/Adjective
불/Noun
명의/Noun
전화번호/Noun
건/Noun
연결하다/Adjective
아마/Noun
자꾸/Noun
정지/Noun
설명/Noun
어디/Noun
지/Josa
회선/Noun
선/Noun
센터/Noun
건가/Noun
아깝다/Adjective
비/Noun
잖다/Verb
건지다/Verb
생각/Noun
올레/Noun
에스케이/Noun
같이/Adverb
앱/Noun
장비/Noun
인증/Noun
전혀/Noun
걸리다/Verb
그니까/Conjunction
이번/Noun
의/Josa
빼다/Verb
끊기다/Verb
갑자기/Noun
칭찬/Noun
취소/Noun
쓸다/Verb
월/Noun
직접/Noun
이름/Noun
끊다/Verb
속도/Noun
중/Suffix
며칠/Noun
단말기/Noun
밖에/Josa
소리/Noun
공/Noun
해도/Noun
잠깐/Noun
뒤/Noun
아이디/Noun
일반/Noun
빨리/Adverb
마다/Josa
이에요/Josa
새롭다/Adjective
몇/Noun
금액/Noun
기다리다/Verb
무료/Noun
미납/Noun
음/Noun
자리/Noun
대한/Noun
리모콘/Noun
꺼/Suffix
이르다/Verb
저희/Modifier
